Date,Spot,Index
09-Apr-10,3282.6,Auto
09-Apr-10,9656.5,Bank
09-Apr-10,9153.47,Energy
09-Apr-10,3843.79,Finance
09-Apr-10,7371.47,FMCG
09-Apr-10,16.4945,GoldBees
09-Apr-10,3525.64,Infra
09-Apr-10,5950.7,IT
09-Apr-10,11024.25,Nifty Next 50
09-Apr-10,1715.21,Media
09-Apr-10,4902.28,Metal
09-Apr-10,7980.4,Mid Cap
09-Apr-10,2792,Mid Cap 50
09-Apr-10,5361.75,Nifty
09-Apr-10,5300.9,Nifty 100
09-Apr-10,2790.45,Nifty 200
09-Apr-10,4410.05,Nifty 500
09-Apr-10,7209.27,Nifty EQW
09-Apr-10,6661.54,Nifty TRI
09-Apr-10,4018.87,Pharma
09-Apr-10,456.1,Realty
09-Apr-10,3728.5,Small Cap
09-Apr-10,18.6,VIX
16-Apr-10,3190.21,Auto
16-Apr-10,9353.75,Bank
16-Apr-10,8906.09,Energy
16-Apr-10,3705.84,Finance
16-Apr-10,7379.87,FMCG
16-Apr-10,16.5194,GoldBees
16-Apr-10,3457.26,Infra
16-Apr-10,6142.85,IT
16-Apr-10,10862.45,Nifty Next 50
16-Apr-10,1680,Media
16-Apr-10,4844.22,Metal
16-Apr-10,7890.95,Mid Cap
16-Apr-10,2764.1,Mid Cap 50
16-Apr-10,5262.6,Nifty
16-Apr-10,5206.15,Nifty 100
16-Apr-10,2744.51,Nifty 200
16-Apr-10,4342.25,Nifty 500
16-Apr-10,7084.09,Nifty EQW
16-Apr-10,6540.82,Nifty TRI
16-Apr-10,4011.28,Pharma
16-Apr-10,463.08,Realty
16-Apr-10,3712.94,Small Cap
16-Apr-10,21.63,VIX
23-Apr-10,3252.63,Auto
23-Apr-10,9813.3,Bank
23-Apr-10,8891.11,Energy
23-Apr-10,3877.05,Finance
23-Apr-10,7465.93,FMCG
23-Apr-10,16.3232,GoldBees
23-Apr-10,3462.39,Infra
23-Apr-10,6016.15,IT
23-Apr-10,10986.9,Nifty Next 50
23-Apr-10,1707.86,Media
23-Apr-10,4729.24,Metal
23-Apr-10,7983.3,Mid Cap
23-Apr-10,2782.55,Mid Cap 50
23-Apr-10,5304.1,Nifty
23-Apr-10,5250.2,Nifty 100
23-Apr-10,2760.37,Nifty 200
23-Apr-10,4369,Nifty 500
23-Apr-10,7136.1,Nifty EQW
23-Apr-10,6592.4,Nifty TRI
23-Apr-10,3980.36,Pharma
23-Apr-10,469.67,Realty
23-Apr-10,3757.55,Small Cap
23-Apr-10,20.35,VIX
30-Apr-10,3255.64,Auto
30-Apr-10,9870.35,Bank
30-Apr-10,8899.34,Energy
30-Apr-10,3912.74,Finance
30-Apr-10,7467.13,FMCG
30-Apr-10,16.712,GoldBees
30-Apr-10,3453.83,Infra
30-Apr-10,5985.8,IT
30-Apr-10,11082.1,Nifty Next 50
30-Apr-10,1678.22,Media
30-Apr-10,4741.53,Metal
30-Apr-10,8061.1,Mid Cap
30-Apr-10,2838,Mid Cap 50
30-Apr-10,5278,Nifty
30-Apr-10,5235.8,Nifty 100
30-Apr-10,2759.01,Nifty 200
30-Apr-10,4368.1,Nifty 500
30-Apr-10,7116.46,Nifty EQW
30-Apr-10,6559.98,Nifty TRI
30-Apr-10,3978.54,Pharma
30-Apr-10,454.69,Realty
30-Apr-10,3764.36,Small Cap
30-Apr-10,20.29,VIX
07-May-10,3147.2,Auto
07-May-10,9276.1,Bank
07-May-10,8750.19,Energy
07-May-10,3723.52,Finance
07-May-10,7314.5,FMCG
07-May-10,17.4085,GoldBees
07-May-10,3253.55,Infra
07-May-10,5726.6,IT
07-May-10,10637.25,Nifty Next 50
07-May-10,1587.68,Media
07-May-10,4286.52,Metal
07-May-10,7769.5,Mid Cap
07-May-10,2689.3,Mid Cap 50
07-May-10,5018.05,Nifty
07-May-10,4985.75,Nifty 100
07-May-10,2642.21,Nifty 200
07-May-10,4182.25,Nifty 500
07-May-10,6729.37,Nifty EQW
07-May-10,6237,Nifty TRI
07-May-10,3975.95,Pharma
07-May-10,407.97,Realty
07-May-10,3565.91,Small Cap
07-May-10,27.31,VIX
14-May-10,3241.19,Auto
14-May-10,9589.05,Bank
14-May-10,8841.41,Energy
14-May-10,3851.34,Finance
14-May-10,7486.74,FMCG
14-May-10,17.957,GoldBees
14-May-10,3237.63,Infra
14-May-10,5839.75,IT
14-May-10,10895.3,Nifty Next 50
14-May-10,1652.95,Media
14-May-10,4287.27,Metal
14-May-10,7912,Mid Cap
14-May-10,2728.65,Mid Cap 50
14-May-10,5093.5,Nifty
14-May-10,5068.15,Nifty 100
14-May-10,2685.4,Nifty 200
14-May-10,4236.65,Nifty 500
14-May-10,6803.62,Nifty EQW
14-May-10,6334.91,Nifty TRI
14-May-10,4010.91,Pharma
14-May-10,427.95,Realty
14-May-10,3611.85,Small Cap
14-May-10,26.18,VIX
21-May-10,3087.03,Auto
21-May-10,9135.7,Bank
21-May-10,8745.83,Energy
21-May-10,3727.59,Finance
21-May-10,7419.4,FMCG
21-May-10,17.6875,GoldBees
21-May-10,3132.56,Infra
21-May-10,5606.45,IT
21-May-10,10507.1,Nifty Next 50
21-May-10,1573.85,Media
21-May-10,4043.85,Metal
21-May-10,7581.9,Mid Cap
21-May-10,2601.45,Mid Cap 50
21-May-10,4931.15,Nifty
21-May-10,4903.5,Nifty 100
21-May-10,2591.56,Nifty 200
21-May-10,4101.6,Nifty 500
21-May-10,6568.8,Nifty EQW
21-May-10,6134.86,Nifty TRI
21-May-10,3933.62,Pharma
21-May-10,387.72,Realty
21-May-10,3451.43,Small Cap
21-May-10,31.27,VIX
28-May-10,3160.65,Auto
28-May-10,9312.6,Bank
28-May-10,9035.65,Energy
28-May-10,3785.73,Finance
28-May-10,7623.37,FMCG
28-May-10,17.9485,GoldBees
28-May-10,3222.92,Infra
28-May-10,5783.6,IT
28-May-10,10681.3,Nifty Next 50
28-May-10,1573.28,Media
28-May-10,4110.07,Metal
28-May-10,7690.7,Mid Cap
28-May-10,2629.4,Mid Cap 50
28-May-10,5066.55,Nifty
28-May-10,5029.45,Nifty 100
28-May-10,2646.53,Nifty 200
28-May-10,4186.8,Nifty 500
28-May-10,6746.22,Nifty EQW
28-May-10,6305.91,Nifty TRI
28-May-10,4034.44,Pharma
28-May-10,405.89,Realty
28-May-10,3498.56,Small Cap
28-May-10,26.22,VIX
04-Jun-10,3298.81,Auto
04-Jun-10,9455.95,Bank
04-Jun-10,9204.39,Energy
04-Jun-10,3840.66,Finance
